,title,district,rooms,sqr_meters,url_adress
0,Mieszkanie Inwestycyjne 6 p,"Mieszkanie na sprzedaż: Warszawa, Bielany",4 pokoje,"83,28 m²",https://www.otodom.pl/oferta/mieszkanie-inwestycyjne-6-p-ID43VtW.html#27dc97bcbe
1,Przytulne mieszkanie na Tarchominie,"Mieszkanie na sprzedaż: Warszawa, Białołęka, Tarchomin",3 pokoje,117 m²,https://www.otodom.pl/oferta/przytulne-mieszkanie-na-tarchominie-ID430vI.html#27dc97bcbe
2,Apartament z ogródkiem w Warszawie,"Mieszkanie na sprzedaż: Warszawa, Włochy",5 pokoi,"125,09 m²",https://www.otodom.pl/oferta/apartament-z-ogrodkiem-w-warszawie-ID3WUyY.html#27dc97bcbe
3,"Wawer, Eleganckie Segmenty stan deweloperski","Mieszkanie na sprzedaż: Warszawa, Wawer, Falenica",5 pokoi,330 m²,https://www.otodom.pl/oferta/wawer-eleganckie-segmenty-stan-deweloperski-ID449Ib.html#27dc97bcbe
4,Słoneczny apartament w Międzylesiu z garażem !!!,"Mieszkanie na sprzedaż: Warszawa, Wawer, Międzylesie",4 pokoje,94 m²,https://www.otodom.pl/oferta/sloneczny-apartament-w-miedzylesiu-z-garazem-ID449FS.html#27dc97bcbe
5,"110m2, 4 Pokoje, Świetna Cena, Super Lokalizacja","Mieszkanie na sprzedaż: Warszawa, Praga-Południe, Gocław",4 pokoje,110 m²,https://www.otodom.pl/oferta/110m2-4-pokoje-swietna-cena-super-lokalizacja-ID449Em.html#27dc97bcbe
6,Powrót do sprzedaży. Stan deweloperski. Ostatnie.,"Mieszkanie na sprzedaż: Warszawa, Praga-Południe",4 pokoje,"92,56 m²",https://www.otodom.pl/oferta/powrot-do-sprzedazy-stan-deweloperski-ostatnie-ID449DN.html#27dc97bcbe
7,WYJĄTKOWE mieszkanie na URSUSIE!!!,"Mieszkanie na sprzedaż: Warszawa, mazowieckie",3 pokoje,"88,80 m²",https://www.otodom.pl/oferta/wyjatkowe-mieszkanie-na-ursusie-ID449zN.html#27dc97bcbe
8,Mieszkanie dwupoziomowe Warszawa Wawer/Gocław 121m,"Mieszkanie na sprzedaż: Warszawa, mazowieckie",4 pokoje,121 m²,https://www.otodom.pl/oferta/mieszkanie-dwupoziomowe-warszawa-wawer-goclaw-121m-ID449yP.html#27dc97bcbe
9,G. Mokotów- apartament 211m blisko METRA,"Mieszkanie na sprzedaż: Warszawa, Mokotów",5 pokoi,211 m²,https://www.otodom.pl/oferta/g-mokotow-apartament-211m-blisko-metra-ID449fh.html#27dc97bcbe
10,"5 pokojowe, 2 poziomowe-Bez Podatku Pcc!","Mieszkanie na sprzedaż: Warszawa, Wawer",5 pokoi,95 m²,https://www.otodom.pl/oferta/5-pokojowe-2-poziomowe-bez-podatku-pcc-ID44963.html#27dc97bcbe
11,Dwupoziomowe przy lesie! Bez Podatku Pcc.,"Mieszkanie na sprzedaż: Warszawa, Wawer",4 pokoje,98 m²,https://www.otodom.pl/oferta/dwupoziomowe-przy-lesie-bez-podatku-pcc-ID44962.html#27dc97bcbe
12,Jasne mieszkanie przy Łazienkach Królewskich,"Mieszkanie na sprzedaż: Warszawa, Śródmieście, Śródmieście Północne",4 pokoje,136 m²,https://www.otodom.pl/oferta/jasne-mieszkanie-przy-lazienkach-krolewskich-ID4495U.html#27dc97bcbe
13,Wawer bliźniak 195m2 + działka 320m2!,"Mieszkanie na sprzedaż: Warszawa, Wawer",5 pokoi,195 m²,https://www.otodom.pl/oferta/wawer-blizniak-195m2-dzialka-320m2-ID448SL.html#27dc97bcbe
14,"Okazja Mieszkanie na Białołęce, Przyrzecze","Mieszkanie na sprzedaż: Warszawa, Białołęka",5 pokoi,147 m²,https://www.otodom.pl/oferta/okazja-mieszkanie-na-bialolece-przyrzecze-ID448Rn.html#27dc97bcbe
15,"Okazja 5-pokojowe na Gocławiu, Cichociemnych","Mieszkanie na sprzedaż: Warszawa, Praga-Południe, Gocław",5 pokoi,104 m²,https://www.otodom.pl/oferta/okazja-5-pokojowe-na-goclawiu-cichociemnych-ID448wt.html#27dc97bcbe
16,Wyjątkowa architektura - apartamenty dla estetów,"Mieszkanie na sprzedaż: Warszawa, Białołęka, Żerań",4 pokoje,"89,42 m²",https://www.otodom.pl/oferta/wyjatkowa-architektura-apartamenty-dla-estetow-ID448wf.html#27dc97bcbe
17,Wawer - apartament 4-pok. z ogródkiem,"Mieszkanie na sprzedaż: Warszawa, Wawer",4 pokoje,108 m²,https://www.otodom.pl/oferta/wawer-apartament-4-pok-z-ogrodkiem-ID448w0.html#27dc97bcbe
18,Inwestycja ukończona - Marysin Wawerski 4pok.,"Mieszkanie na sprzedaż: Warszawa, Wawer",4 pokoje,"92,56 m²",https://www.otodom.pl/oferta/inwestycja-ukonczona-marysin-wawerski-4pok-ID448uY.html#27dc97bcbe
19,Segment szeregowca na Bemowie Chrzanowie,"Mieszkanie na sprzedaż: Warszawa, Bemowo, Chrzanów",5 pokoi,"161,33 m²",https://www.otodom.pl/oferta/segment-szeregowca-na-bemowie-chrzanowie-ID448us.html#27dc97bcbe
20,"Białołęka - 4-pok z tarasem, idealne dla Rodziny","Mieszkanie na sprzedaż: Warszawa, Białołęka, Żerań",4 pokoje,"80,77 m²",https://www.otodom.pl/oferta/bialoleka-4-pok-z-tarasem-idealne-dla-rodziny-ID448ub.html#27dc97bcbe
21,Piękny 5-pok apartament - Mysiadło,"Mieszkanie na sprzedaż: Warszawa, Wola, Moczydło",5 pokoi,"138,23 m²",https://www.otodom.pl/oferta/piekny-5-pok-apartament-mysiadlo-ID448u6.html#27dc97bcbe
22,"OKAZJA 3-pokojowe mieszkanie w Wilanowie, Sarmacka","Mieszkanie na sprzedaż: Warszawa, Wilanów",3 pokoje,100 m²,https://www.otodom.pl/oferta/okazja-3-pokojowe-mieszkanie-w-wilanowie-sarmacka-ID448tb.html#27dc97bcbe
23,"Salon 30m2, ustawne sypialnie, aneks z oknem >>","Mieszkanie na sprzedaż: Warszawa, Wawer",4 pokoje,85 m²,https://www.otodom.pl/oferta/salon-30m2-ustawne-sypialnie-aneks-z-oknem-ID448la.html#27dc97bcbe
24,Ogródek aż 97m2. Jedyny taki układ. Dla rodziny>>,"Mieszkanie na sprzedaż: Warszawa, Wawer",4 pokoje,"108,50 m²",https://www.otodom.pl/oferta/ogrodek-az-97m2-jedyny-taki-uklad-dla-rodziny-ID448l9.html#27dc97bcbe
25,"Dwupoziomowe mieszkanie z ogródkiem, 135m2, Kw","Mieszkanie na sprzedaż: Warszawa, Praga-Południe",4 pokoje,135 m²,https://www.otodom.pl/oferta/dwupoziomowe-mieszkanie-z-ogrodkiem-135m2-kw-ID448gg.html#27dc97bcbe
26,5 Pokoi - Strzeżone Osiedle - Zielone Bialany,"Mieszkanie na sprzedaż: Warszawa, Bielany",5 pokoi,"143,20 m²",https://www.otodom.pl/oferta/5-pokoi-strzezone-osiedle-zielone-bialany-ID4489a.html#27dc97bcbe
27,5 - Pokojowe Mieszkanie Na Nowodworach,"Mieszkanie na sprzedaż: Warszawa, Białołęka",5 pokoi,87 m²,https://www.otodom.pl/oferta/5-pokojowe-mieszkanie-na-nowodworach-ID447VA.html#27dc97bcbe
28,Dwupoziomowe Mieszkanie Przy Balatonie,"Mieszkanie na sprzedaż: Warszawa, Praga-Południe, Gocław",4 pokoje,113 m²,https://www.otodom.pl/oferta/dwupoziomowe-mieszkanie-przy-balatonie-ID447LX.html#27dc97bcbe
29,"Białołęka,ul.Marywilska4pok,103,47m,2balkony,garaż","Mieszkanie na sprzedaż: Warszawa, Białołęka",4 pokoje,"103,47 m²",https://www.otodom.pl/oferta/bialoleka-ul-marywilska4pok-103-47m-2balkony-garaz-ID447Hl.html#27dc97bcbe
30,"132m+garaż+ogródek, cicha okolica, brak czynszu","Mieszkanie na sprzedaż: Warszawa, Wawer, Miedzeszyn",4 pokoje,132 m²,https://www.otodom.pl/oferta/132m-garaz-ogrodek-cicha-okolica-brak-czynszu-ID447EL.html#27dc97bcbe
31,"4 pokoje, 101, 7 m2, Gocław, Znanieckiego","Mieszkanie na sprzedaż: Warszawa, Praga-Południe",4 pokoje,"101,70 m²",https://www.otodom.pl/oferta/4-pokoje-101-7-m2-goclaw-znanieckiego-ID447Cd.html#27dc97bcbe
32,"Mieszkanie, 113 m², Warszawa","Mieszkanie na sprzedaż: Warszawa, Wawer",5 pokoi,113 m²,https://www.otodom.pl/oferta/mieszkanie-113-m-warszawa-ID447As.html#27dc97bcbe
33,"Mieszkanie, 113 m², Warszawa","Mieszkanie na sprzedaż: Warszawa, Wawer",5 pokoi,113 m²,https://www.otodom.pl/oferta/mieszkanie-113-m-warszawa-ID447Aq.html#27dc97bcbe
34,"Mieszkanie, 113 m², Warszawa","Mieszkanie na sprzedaż: Warszawa, Wawer",5 pokoi,113 m²,https://www.otodom.pl/oferta/mieszkanie-113-m-warszawa-ID447Ap.html#27dc97bcbe
35,"Mieszkanie 133m2, 4/5/6 pokoi, strych, W-wa, Wawer","Mieszkanie na sprzedaż: Warszawa, Wawer",4 pokoje,"133,18 m²",https://www.otodom.pl/oferta/mieszkanie-133m2-4-5-6-pokoi-strych-w-wa-wawer-ID447zX.html#27dc97bcbe
36,"Dwa poziomy, 3 pokoje , Bemowo - Jelonki","Mieszkanie na sprzedaż: Warszawa, Bemowo",3 pokoje,"95,90 m²",https://www.otodom.pl/oferta/dwa-poziomy-3-pokoje-bemowo-jelonki-ID447zc.html#27dc97bcbe
37,4 pokoje z widną kuchnią Stara Miłosna,"Mieszkanie na sprzedaż: Warszawa, Wesoła, Stara Miłosna",4 pokoje,85 m²,https://www.otodom.pl/oferta/4-pokoje-z-widna-kuchnia-stara-milosna-ID447sh.html#27dc97bcbe
38,"Mieszkanie, 95 m², Warszawa","Mieszkanie na sprzedaż: Warszawa, Rembertów",4 pokoje,95 m²,https://www.otodom.pl/oferta/mieszkanie-95-m-warszawa-ID4477z.html#27dc97bcbe
39,"Mieszkanie, 84 m², Warszawa","Mieszkanie na sprzedaż: Warszawa, Praga-Południe",4 pokoje,84 m²,https://www.otodom.pl/oferta/mieszkanie-84-m-warszawa-ID4477u.html#27dc97bcbe
40,Oddany do użytku apartament z tarasem!,"Mieszkanie na sprzedaż: Warszawa, Ursynów",5 pokoi,138 m²,https://www.otodom.pl/oferta/oddany-do-uzytku-apartament-z-tarasem-ID4471Y.html#27dc97bcbe
41,Gotowe mieszkanie!!,"Mieszkanie na sprzedaż: Warszawa, Ursynów",4 pokoje,90 m²,https://www.otodom.pl/oferta/gotowe-mieszkanie-ID4471z.html#27dc97bcbe
42,Okazja- Gotowe /Dla rodziny/ Balkon/ Park/ Do cent,"Mieszkanie na sprzedaż: Warszawa, Praga-Południe, Gocław",4 pokoje,"92,20 m²",https://www.otodom.pl/oferta/okazja-gotowe-dla-rodziny-balkon-park-do-cent-ID446Y7.html#27dc97bcbe
43,Salon od zach./ Balkon/ Park/ Do centrum 17 min.,"Mieszkanie na sprzedaż: Warszawa, Praga-Południe, Gocław",4 pokoje,"84,70 m²",https://www.otodom.pl/oferta/salon-od-zach-balkon-park-do-centrum-17-min-ID446Y4.html#27dc97bcbe
44,Loft w starej kamienicy w Śródmieściu,"Mieszkanie na sprzedaż: Warszawa, Śródmieście",4 pokoje,136 m²,https://www.otodom.pl/oferta/loft-w-starej-kamienicy-w-srodmiesciu-ID446Vi.html#27dc97bcbe
45,"Mieszkanie, 84 m², Warszawa","Mieszkanie na sprzedaż: Warszawa, Praga-Południe",4 pokoje,84 m²,https://www.otodom.pl/oferta/mieszkanie-84-m-warszawa-ID446IX.html#27dc97bcbe
46,Zamieszkaj w ciszy w wysokim standardzie !,"Mieszkanie na sprzedaż: Warszawa, Białołęka",3 pokoje,85 m²,https://www.otodom.pl/oferta/zamieszkaj-w-ciszy-w-wysokim-standardzie-ID446FJ.html#27dc97bcbe
47,4 pokojowe mieszkanie Białołęka ul. Pasłęcka,"Mieszkanie na sprzedaż: Warszawa, Białołęka",4 pokoje,121 m²,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-bialoleka-ul-paslecka-ID446m0.html#27dc97bcbe
48,"Służew, Mokotów | 211m2 | 5 pok. | garaż na 2 auta","Mieszkanie na sprzedaż: Warszawa, Mokotów",5 pokoi,211 m²,https://www.otodom.pl/oferta/sluzew-mokotow-211m2-5-pok-garaz-na-2-auta-ID446g3.html#27dc97bcbe
49,Ursus - 77m2 - 4 Pokoje - 599 Tys Zł,"Mieszkanie na sprzedaż: Warszawa, Ursus",4 pokoje,80 m²,https://www.otodom.pl/oferta/ursus-77m2-4-pokoje-599-tys-zl-ID446au.html#27dc97bcbe
50,"Przy lesie Sękocińskim, garaż, ogród, bez czynszu!","Mieszkanie na sprzedaż: Warszawa, mazowieckie",5 pokoi,195 m²,https://www.otodom.pl/oferta/przy-lesie-sekocinskim-garaz-ogrod-bez-czynszu-ID4469O.html#27dc97bcbe
51,5 - Pokojowe Mieszkanie Na Nowodworach,"Mieszkanie na sprzedaż: Warszawa, Białołęka",5 pokoi,87 m²,https://www.otodom.pl/oferta/5-pokojowe-mieszkanie-na-nowodworach-ID4467B.html#27dc97bcbe
52,Super lokalizacja sprzedaż Bezpośrednia,"Mieszkanie na sprzedaż: Warszawa, Wesoła",5 pokoi,154 m²,https://www.otodom.pl/oferta/super-lokalizacja-sprzedaz-bezposrednia-ID445Iu.html#27dc97bcbe
53,Mieszkanie Warszawa Białołęka Nowodwory Pasłęcka,"Mieszkanie na sprzedaż: Warszawa, Białołęka",4 pokoje,121 m²,https://www.otodom.pl/oferta/mieszkanie-warszawa-bialoleka-nowodwory-paslecka-ID445F5.html#27dc97bcbe
54,Przestronny apartament z tarasem w kamienicy,"Mieszkanie na sprzedaż: Warszawa, Praga-Południe, Gocław",4 pokoje,102 m²,https://www.otodom.pl/oferta/przestronny-apartament-z-tarasem-w-kamienicy-ID445y9.html#27dc97bcbe
55,2 poziomowy apartament 144m2 z ogródkiem,"Mieszkanie na sprzedaż: Warszawa, Wesoła",4 pokoje,144 m²,https://www.otodom.pl/oferta/2-poziomowy-apartament-144m2-z-ogrodkiem-ID445vZ.html#27dc97bcbe
56,Przestronny 5 pokojowy apartament! OBOK SKM **,"Mieszkanie na sprzedaż: Warszawa, Rembertów",5 pokoi,114 m²,https://www.otodom.pl/oferta/przestronny-5-pokojowy-apartament-obok-skm-ID445qD.html#27dc97bcbe
57,Piękne mieszkanie z tarasem ***,"Mieszkanie na sprzedaż: Warszawa, Rembertów",4 pokoje,90 m²,https://www.otodom.pl/oferta/piekne-mieszkanie-z-tarasem-ID445pg.html#27dc97bcbe
58,"Segment trzypoziomowy 125m2, NAJLEPSZA LOKALIZACJA","Mieszkanie na sprzedaż: Warszawa, Wesoła",4 pokoje,125 m²,https://www.otodom.pl/oferta/segment-trzypoziomowy-125m2-najlepsza-lokalizacja-ID445lT.html#27dc97bcbe
59,Czteropokojowe na Gocławiu z komórką i garazem,"Mieszkanie na sprzedaż: Warszawa, Praga-Południe",4 pokoje,101 m²,https://www.otodom.pl/oferta/czteropokojowe-na-goclawiu-z-komorka-i-garazem-ID445ip.html#27dc97bcbe
60,Przestrzenne czteropokojowe z dwoma tarasami,"Mieszkanie na sprzedaż: Warszawa, Praga-Południe",4 pokoje,138 m²,https://www.otodom.pl/oferta/przestrzenne-czteropokojowe-z-dwoma-tarasami-ID445hL.html#27dc97bcbe
61,Salon od zach./ Balkon/ Park/ Do centrum 17 min.,"Mieszkanie na sprzedaż: Warszawa, Praga-Południe, Gocław",4 pokoje,"84,70 m²",https://www.otodom.pl/oferta/salon-od-zach-balkon-park-do-centrum-17-min-ID444TQ.html#27dc97bcbe
62,Okazja na Kabatach- 7315 zł/1 m2.,"Mieszkanie na sprzedaż: Warszawa, Ursynów, Kabaty",6 pokoi,175 m²,https://www.otodom.pl/oferta/okazja-na-kabatach-7315-zl-1-m2-ID444OI.html#27dc97bcbe
63,"Mieszkanie, 84 m², Warszawa","Mieszkanie na sprzedaż: Warszawa, Praga-Południe, Gocław",3 pokoje,84 m²,https://www.otodom.pl/oferta/mieszkanie-84-m-warszawa-ID444yS.html#27dc97bcbe
64,"Warszawa Praga Południe, Grochów, ul. Szklanych ..","Mieszkanie na sprzedaż: Warszawa, Praga-Południe, Grochów",3 pokoje,"81,60 m²",https://www.otodom.pl/oferta/warszawa-praga-poludnie-grochow-ul-szklanych-ID444rc.html#27dc97bcbe
65,"Wola, ul. Żytnia 13/Okopowa, 86 m, 4 pokoje, garaż","Mieszkanie na sprzedaż: Warszawa, Wola",4 pokoje,86 m²,https://www.otodom.pl/oferta/wola-ul-zytnia-13-okopowa-86-m-4-pokoje-garaz-ID444pL.html#27dc97bcbe
66,Piękny projekt w przyjaznej okolicy na Pradze Płd!,"Mieszkanie na sprzedaż: Warszawa, Praga-Południe, Kamionek",4 pokoje,"101,96 m²",https://www.otodom.pl/oferta/piekny-projekt-w-przyjaznej-okolicy-na-pradze-pld-ID444ph.html#27dc97bcbe
67,4 pokoje w Aninie/Kw,"Mieszkanie na sprzedaż: Warszawa, Wawer",5 pokoi,155 m²,https://www.otodom.pl/oferta/4-pokoje-w-aninie-kw-ID444iV.html#27dc97bcbe
68,4 pokoje+kominek/Kw,"Mieszkanie na sprzedaż: Warszawa, Wawer",4 pokoje,139 m²,https://www.otodom.pl/oferta/4-pokoje-kominek-kw-ID444iW.html#27dc97bcbe
69,Kameralne osiedle w spokojnej części Bemowa!,"Mieszkanie na sprzedaż: Warszawa, Bemowo",5 pokoi,"152,85 m²",https://www.otodom.pl/oferta/kameralne-osiedle-w-spokojnej-czesci-bemowa-ID4449v.html#27dc97bcbe
70,"Super lokalizacja, 500m. do metra Chrzanów!","Mieszkanie na sprzedaż: Warszawa, Bemowo",5 pokoi,"152,96 m²",https://www.otodom.pl/oferta/super-lokalizacja-500m-do-metra-chrzanow-ID4449p.html#27dc97bcbe
71,Piękny dom jednorodzinny na zielonym Chrzanowie!,"Mieszkanie na sprzedaż: Warszawa, Bemowo",5 pokoi,"161,33 m²",https://www.otodom.pl/oferta/piekny-dom-jednorodzinny-na-zielonym-chrzanowie-ID4449d.html#27dc97bcbe
72,Obiekt przemysłowy 300m2 Stara Miłosna,"Mieszkanie na sprzedaż: Warszawa, Wesoła",5 pokoi,300 m²,https://www.otodom.pl/oferta/obiekt-przemyslowy-300m2-stara-milosna-ID4443T.html#27dc97bcbe
73,Mieszkanie dwupoziomowe* Wysoki Standard * Wesoła,"Mieszkanie na sprzedaż: Warszawa, Wesoła",4 pokoje,115 m²,https://www.otodom.pl/oferta/mieszkanie-dwupoziomowe-wysoki-standard-wesola-ID443Zb.html#27dc97bcbe
74,Świetne mieszkanie z klimatem na Zaciszu. Metro!!!,"Mieszkanie na sprzedaż: Warszawa, Targówek, Targówek Mieszkaniowy",5 pokoi,"129,60 m²",https://www.otodom.pl/oferta/swietne-mieszkanie-z-klimatem-na-zaciszu-metro-ID443UM.html#27dc97bcbe
